code,name
00001,CKH HOLDINGS
00002,CLP HOLDINGS
00003,HK & CHINA GAS
00005,HSBC HOLDINGS
00006,POWER ASSETS
00012,HENDERSON LAND
00016,SHK PPT
00027,GALAXY ENT
00066,MTR CORPORATION
00101,HANG LUNG PPT
00175,GEELY AUTO
00241,ALI HEALTH
00267,CITIC
00285,BYD ELECTRONIC
00288,WH GROUP
00291,CHINA RES BEER
00300,MIDEA GROUP
00316,OOIL
00322,TINGYI
00386,SINOPEC CORP
00388,HKEX
00669,TECHTRONIC IND
00688,CHINA OVERSEAS
00700,TENCENT
00728,CHINA TELECOM
00762,CHINA UNICOM
00823,LINK REIT
00836,CHINA RES POWER
00857,PETROCHINA
00868,XINYI GLASS
00883,CNOOC
00939,CCB
00941,CHINA MOBILE
00960,LONGFOR GROUP
00968,XINYI SOLAR
00981,SMIC
00992,LENOVO GROUP
01024,KUAISHOU - W
01038,CKI HOLDINGS
01044,HENGAN INT'L
01088,CHINA SHENHUA
01093,CSPC PHARMA
01099,SINOPHARM
01109,CHINA RES LAND
01113,CK ASSET
01177,SBP GROUP
01209,CHINA RES MIXC
01211,BYD COMPANY
01299,AIA
01378,CHINAHONGQIAO
01398,ICBC
01801,INNOVENT BIO
01810,XIAOMI - W
01876,BUD APAC
01928,SANDS CHINA LTD
01929,CHOW TAI FOOK
01997,WHARF REIC
02015,LI AUTO - W
02020,ANTA SPORTS
02057,ZTO EXPRESS - W
02269,WUXI BIO
02313,SHENZHOU INTL
02318,PING AN
02319,MENGNIU DAIRY
02331,LI NING
02359,WUXI APPTEC
02382,SUNNY OPTICAL
02388,BOC HONG KONG
02618,JD LOGISTICS
02628,CHINA LIFE
02688,ENN ENERGY
02899,ZIJIN MINING
03690,MEITUAN - W
03692,HANSOH PHARMA
03750,CATL
03968,CM BANK
03988,BANK OF CHINA
03993,CMOC
06181,LAOPU GOLD
06618,JD HEALTH
06690,HAIER SMARTHOME
06862,HAIDILAO
09618,JD - SW
09633,NONGFU SPRING
09888,BIDU - SW
09901,NEW ORIENTAL - S
09961,TRIP.COM - S
09988,BABA - W
09992,POP MART
09999,NTES - S
