code,name
00020,SENSETIME - W
00241,ALI HEALTH
00268,KINGDEE INT'L
00285,BYD ELECTRONIC
00300,MIDEA GROUP
00700,TENCENT
00780,TONGCHENGTRAVEL
00981,SMIC
00992,LENOVO GROUP
01024,KUAISHOU - W
01211,BYD COMPANY
01347,HUA HONG SEMI
01698,TME - SW
01810,XIAOMI - W
02015,LI AUTO - W
02382,SUNNY OPTICAL
03690,MEITUAN - W
03888,KINGSOFT
06618,JD HEALTH
06690,HAIER SMARTHOME
09618,JD - SW
09626,BILIBILI - W
09660,HORIZONROBOT - W
09863,LEAPMOTOR
09866,NIO - SW
09868,XPENG - W
09888,BIDU - SW
09961,TRIP.COM - S
09988,BABA - W
09999,NTES - S
